inspection_id,inspection_time,machine_id,sku,sample_size,defect_count,defect_rate,result,main_defect_type,inspector_id,standard
QI-0011691,2026-03-27 01:00:00,M23,DUO-024,129,0,0.0041,PASS,,QC-D,IATF 16949
QI-0011692,2025-03-08 15:00:00,M27,LFR-008,160,0,0.0028,PASS,,QC-D,IATF 16949
QI-0011693,2025-05-10 09:00:00,M12,VEN-028,170,0,0.0026,PASS,,QC-A,IATF 16949
QI-0011694,2024-03-01 10:00:00,M19,BUM-021,56,0,0.0039,PASS,,QC-D,客户标准
QI-0011695,2025-10-19 21:00:00,M17,TLM-010,171,0,0.003,PASS,,QC-C,客户标准
QI-0011696,2025-04-05 22:00:00,M23,TLP-014,145,0,0.0051,PASS,,QC-C,ISO 9001
QI-0011697,2026-02-21 08:00:00,M22,HND-013,136,1,0.0077,FAIL,黑点,QC-B,ISO 9001
QI-0011698,2024-04-19 22:00:00,M10,VEN-012,104,1,0.0102,PASS,缺料,QC-B,客户标准
QI-0011699,2025-02-21 14:00:00,M23,DUO-001,118,0,0.0012,PASS,,QC-A,ISO 9001
QI-0011700,2025-01-22 22:00:00,M20,BUM-008,185,0,0.0029,PASS,,QC-A,IATF 16949
QI-0011701,2024-06-05 15:00:00,M08,VEN-017,35,0,0.0026,PASS,,QC-C,ISO 9001
QI-0011702,2025-09-10 18:00:00,M15,BUM-016,85,0,0.0117,PASS,,QC-D,ISO 9001
QI-0011703,2025-02-02 00:00:00,M18,BUM-021,161,0,0.004,PASS,,QC-D,ISO 9001
QI-0011704,2024-06-26 05:00:00,M03,DRH-005,71,0,0.0007,PASS,,QC-C,IATF 16949
QI-0011705,2025-06-19 02:00:00,M28,LRB-022,25,0,0.0216,PASS,,QC-D,客户标准
QI-0011706,2024-01-08 00:00:00,M09,CUP-017,93,0,0.0024,PASS,,QC-B,IATF 16949
QI-0011707,2025-02-16 08:00:00,M16,BUM-025,27,0,0.0167,PASS,,QC-C,ISO 9001
QI-0011708,2025-11-20 20:00:00,M14,TLM-001,137,1,0.0131,PASS,黑点,QC-D,IATF 16949
QI-0011709,2025-12-06 23:00:00,M20,TLM-001,175,0,0.0013,PASS,,QC-D,ISO 9001
QI-0011710,2024-01-20 14:00:00,M06,DRH-005,195,1,0.0085,PASS,缩痕,QC-C,客户标准
QI-0011711,2024-02-28 04:00:00,M29,LRB-013,82,0,0.0082,PASS,,QC-B,IATF 16949
QI-0011712,2024-05-02 07:00:00,M27,LRB-022,72,0,0.011,PASS,,QC-C,客户标准
QI-0011713,2025-09-17 18:00:00,M03,CUP-013,177,0,0.0031,PASS,,QC-D,ISO 9001
QI-0011714,2024-04-01 02:00:00,M18,TLM-011,160,0,0.0016,PASS,,QC-C,IATF 16949
QI-0011715,2025-12-04 17:00:00,M29,LRB-014,51,0,0.0024,PASS,,QC-A,客户标准
QI-0011716,2024-04-03 03:00:00,M06,VEN-010,84,0,0.0104,PASS,,QC-D,ISO 9001
QI-0011717,2024-01-19 04:00:00,M05,DRH-021,155,0,0.0049,PASS,,QC-B,ISO 9001
QI-0011718,2026-04-15 21:00:00,M18,BUM-004,159,0,0.0031,PASS,,QC-B,IATF 16949
QI-0011719,2024-01-08 04:00:00,M19,TLM-021,189,0,0.004,PASS,,QC-C,ISO 9001
QI-0011720,2026-01-07 08:00:00,M02,VEN-004,88,0,0.0032,PASS,,QC-D,ISO 9001
QI-0011721,2024-11-08 11:00:00,M29,LFR-017,118,0,0.0048,PASS,,QC-C,客户标准
QI-0011722,2025-05-20 06:00:00,M24,WLC-010,39,0,0.007,PASS,,QC-A,IATF 16949
QI-0011723,2025-02-11 02:00:00,M28,LRB-015,126,0,0.004,PASS,,QC-D,ISO 9001
QI-0011724,2024-08-31 02:00:00,M28,LFR-015,21,0,0.01,PASS,,QC-A,IATF 16949
QI-0011725,2024-06-08 18:00:00,M26,LFR-006,111,0,0.0043,PASS,,QC-A,客户标准
QI-0011726,2025-09-16 22:00:00,M10,DRH-008,175,1,0.0109,PASS,尺寸不合格,QC-A,客户标准
QI-0011727,2025-09-11 06:00:00,M03,DRH-009,43,0,0.0021,PASS,,QC-B,IATF 16949
QI-0011728,2025-04-15 09:00:00,M05,DRH-019,40,1,0.0354,PASS,熔接痕,QC-D,ISO 9001
QI-0011729,2024-07-21 21:00:00,M03,CUP-021,139,0,0.0018,PASS,,QC-D,IATF 16949
QI-0011730,2025-08-12 10:00:00,M25,TLP-001,177,0,0.001,PASS,,QC-A,ISO 9001
QI-0011731,2024-12-11 07:00:00,M19,BUM-021,151,6,0.0449,FAIL,黑点,QC-C,IATF 16949
QI-0011732,2025-02-11 03:00:00,M17,BUM-013,162,0,0.0055,PASS,,QC-B,客户标准
QI-0011733,2024-04-18 06:00:00,M12,CUP-025,200,1,0.0056,PASS,尺寸不合格,QC-A,IATF 16949
QI-0011734,2026-04-17 03:00:00,M18,HND-006,56,1,0.0214,FAIL,色差,QC-C,ISO 9001
QI-0011735,2025-09-06 13:00:00,M09,CUP-027,101,0,0.0034,PASS,,QC-B,ISO 9001
QI-0011736,2024-04-07 22:00:00,M14,TLM-016,105,0,0.0046,PASS,,QC-A,ISO 9001
QI-0011737,2024-01-03 20:00:00,M28,LRB-002,24,0,0.0081,PASS,,QC-A,IATF 16949
QI-0011738,2025-03-21 06:00:00,M29,LRB-010,83,2,0.0309,FAIL,缺料,QC-C,IATF 16949
QI-0011739,2026-03-28 16:00:00,M03,VEN-012,181,0,0.0022,PASS,,QC-B,IATF 16949
QI-0011740,2024-04-12 19:00:00,M15,BUM-001,47,0,0.0152,PASS,,QC-C,IATF 16949
QI-0011741,2024-10-16 02:00:00,M26,LFR-006,85,0,0.0056,PASS,,QC-A,IATF 16949
QI-0011742,2025-06-13 14:00:00,M18,BUM-003,66,0,0.0092,PASS,,QC-D,客户标准
QI-0011743,2024-02-08 15:00:00,M05,CUP-021,160,0,0.0019,PASS,,QC-C,IATF 16949
QI-0011744,2025-03-08 13:00:00,M18,TLM-008,123,0,0.0023,PASS,,QC-D,IATF 16949
QI-0011745,2025-03-13 22:00:00,M04,CUP-009,193,1,0.0075,PASS,缩痕,QC-A,ISO 9001
QI-0011746,2024-03-31 23:00:00,M24,DUO-009,127,1,0.0091,PASS,缩痕,QC-C,IATF 16949
QI-0011747,2025-05-14 11:00:00,M03,VEN-018,57,0,0.0059,PASS,,QC-C,ISO 9001
QI-0011748,2024-07-28 11:00:00,M21,BUM-016,141,1,0.0079,PASS,飞边,QC-A,IATF 16949
QI-0011749,2025-05-21 00:00:00,M07,CUP-002,158,3,0.0191,PASS,熔接痕,QC-C,IATF 16949
QI-0011750,2025-03-21 01:00:00,M15,HND-021,28,0,0.0029,PASS,,QC-C,ISO 9001
QI-0011751,2026-02-22 22:00:00,M24,WLC-011,50,0,0.0026,PASS,,QC-D,ISO 9001
QI-0011752,2026-04-05 15:00:00,M05,DRH-004,105,0,0.0038,PASS,,QC-C,ISO 9001
QI-0011753,2024-11-25 02:00:00,M17,HND-011,58,0,0.0151,PASS,,QC-A,ISO 9001
QI-0011754,2024-07-24 06:00:00,M09,VEN-019,46,1,0.0303,FAIL,熔接痕,QC-C,ISO 9001
QI-0011755,2024-07-20 23:00:00,M16,BUM-023,164,2,0.0167,PASS,缺料,QC-D,ISO 9001
QI-0011756,2025-07-06 00:00:00,M14,HND-022,188,0,0.0018,PASS,,QC-A,IATF 16949
QI-0011757,2025-06-28 19:00:00,M11,DRH-030,87,0,0.0061,PASS,,QC-D,客户标准
QI-0011758,2025-03-24 04:00:00,M25,WLC-001,86,0,0.0023,PASS,,QC-D,ISO 9001
QI-0011759,2025-04-13 16:00:00,M15,TLM-002,183,1,0.0068,PASS,黑点,QC-C,IATF 16949
QI-0011760,2026-01-10 20:00:00,M01,VEN-005,196,7,0.0406,PASS,缩痕,QC-D,客户标准
QI-0011761,2025-03-24 19:00:00,M13,CUP-025,53,0,0.004,PASS,,QC-C,IATF 16949
QI-0011762,2025-06-13 04:00:00,M13,VEN-012,190,0,0.0009,PASS,,QC-B,IATF 16949
QI-0011763,2025-03-25 01:00:00,M14,HND-003,122,3,0.03,PASS,尺寸不合格,QC-C,IATF 16949
QI-0011764,2024-10-12 08:00:00,M19,TLM-003,44,0,0.0014,PASS,,QC-A,IATF 16949
QI-0011765,2025-07-17 19:00:00,M11,VEN-015,119,0,0.005,PASS,,QC-D,IATF 16949
QI-0011766,2025-06-05 04:00:00,M29,LRB-021,51,0,0.0114,PASS,,QC-B,客户标准
QI-0011767,2024-10-02 08:00:00,M02,VEN-018,150,0,0.0025,PASS,,QC-B,客户标准
QI-0011768,2026-01-25 00:00:00,M17,BUM-008,180,0,0.002,PASS,,QC-C,客户标准
QI-0011769,2024-12-09 07:00:00,M28,LRB-016,75,0,0.0026,PASS,,QC-B,ISO 9001
QI-0011770,2024-12-19 00:00:00,M23,WLC-019,89,2,0.024,PASS,缺料,QC-C,ISO 9001
QI-0011771,2024-06-01 21:00:00,M05,VEN-007,142,1,0.0073,PASS,缩痕,QC-A,客户标准
QI-0011772,2024-01-25 10:00:00,M23,DUO-003,122,0,0.0032,PASS,,QC-C,IATF 16949
QI-0011773,2025-04-23 06:00:00,M20,TLM-012,113,0,0.0039,PASS,,QC-C,客户标准
QI-0011774,2024-05-02 20:00:00,M06,VEN-014,78,1,0.0245,PASS,缩痕,QC-A,IATF 16949
QI-0011775,2024-09-14 21:00:00,M10,DRH-008,39,0,0.0012,PASS,,QC-B,客户标准
QI-0011776,2025-04-06 05:00:00,M21,HND-005,114,0,0.0023,PASS,,QC-A,客户标准
QI-0011777,2025-08-15 20:00:00,M28,LFR-022,37,0,0.0076,PASS,,QC-B,IATF 16949
QI-0011778,2025-06-16 03:00:00,M25,DUO-012,109,1,0.0131,FAIL,色差,QC-B,ISO 9001
QI-0011779,2024-11-27 23:00:00,M10,VEN-010,145,2,0.0142,FAIL,气泡,QC-B,ISO 9001
QI-0011780,2025-05-14 06:00:00,M09,VEN-014,162,0,0.0033,PASS,,QC-C,ISO 9001
QI-0011781,2026-03-13 17:00:00,M18,BUM-004,142,0,0.0069,PASS,,QC-A,IATF 16949
QI-0011782,2024-03-06 18:00:00,M03,CUP-011,72,2,0.0379,PASS,熔接痕,QC-C,ISO 9001
QI-0011783,2026-01-18 08:00:00,M20,TLM-026,30,0,0.0061,PASS,,QC-A,IATF 16949
QI-0011784,2025-05-03 23:00:00,M08,DRH-006,91,0,0.0062,PASS,,QC-A,客户标准
QI-0011785,2025-04-14 07:00:00,M16,TLM-002,144,3,0.0235,PASS,熔接痕,QC-D,IATF 16949
QI-0011786,2025-07-14 01:00:00,M01,DRH-010,121,0,0.0053,PASS,,QC-C,ISO 9001
QI-0011787,2025-05-08 15:00:00,M09,VEN-022,108,0,0.0045,PASS,,QC-A,客户标准
QI-0011788,2024-05-04 09:00:00,M22,TLM-018,197,2,0.0132,PASS,缺料,QC-A,IATF 16949
QI-0011789,2025-03-12 06:00:00,M18,HND-019,155,2,0.0153,PASS,变形,QC-B,IATF 16949
QI-0011790,2025-11-19 13:00:00,M12,VEN-019,50,0,0.0055,PASS,,QC-B,ISO 9001
QI-0011791,2026-02-25 08:00:00,M26,LRB-017,72,0,0.0091,PASS,,QC-A,IATF 16949
QI-0011792,2025-04-01 11:00:00,M09,DRH-011,22,0,0.0087,PASS,,QC-D,客户标准
QI-0011793,2026-04-15 18:00:00,M29,LFR-019,73,0,0.006,PASS,,QC-A,客户标准
QI-0011794,2024-08-25 15:00:00,M02,CUP-002,38,0,0.0015,PASS,,QC-A,ISO 9001
QI-0011795,2024-10-25 01:00:00,M13,VEN-021,192,6,0.032,PASS,尺寸不合格,QC-B,IATF 16949
QI-0011796,2025-09-26 22:00:00,M13,CUP-015,182,0,0.0019,PASS,,QC-C,客户标准
QI-0011797,2024-04-28 08:00:00,M14,TLM-014,170,0,0.0054,PASS,,QC-D,ISO 9001
QI-0011798,2025-08-22 06:00:00,M04,CUP-021,183,0,0.004,PASS,,QC-C,IATF 16949
QI-0011799,2025-02-06 19:00:00,M15,HND-024,95,1,0.0117,PASS,气泡,QC-C,IATF 16949
QI-0011800,2024-01-30 21:00:00,M27,LFR-014,102,0,0.0026,PASS,,QC-B,客户标准
QI-0011801,2026-01-27 06:00:00,M27,LRB-012,163,1,0.0063,PASS,气泡,QC-B,IATF 16949
QI-0011802,2025-09-12 18:00:00,M16,HND-003,125,1,0.013,PASS,黑点,QC-C,IATF 16949
QI-0011803,2025-09-17 22:00:00,M28,LFR-005,20,0,0.0099,PASS,,QC-A,客户标准
QI-0011804,2025-01-28 12:00:00,M26,LRB-006,186,0,0.0026,PASS,,QC-B,客户标准
QI-0011805,2026-01-07 17:00:00,M20,HND-022,41,0,0.0145,PASS,,QC-A,ISO 9001
QI-0011806,2024-12-14 20:00:00,M12,VEN-008,22,0,0.0009,PASS,,QC-D,ISO 9001
QI-0011807,2025-12-30 04:00:00,M11,VEN-006,199,1,0.0057,PASS,缩痕,QC-C,客户标准
QI-0011808,2025-04-14 19:00:00,M15,TLM-028,56,0,0.0084,PASS,,QC-A,IATF 16949
QI-0011809,2024-05-11 11:00:00,M02,VEN-030,114,3,0.0326,PASS,变形,QC-D,IATF 16949
QI-0011810,2024-07-31 03:00:00,M12,VEN-012,64,1,0.0161,PASS,缺料,QC-D,客户标准
QI-0011811,2025-08-23 08:00:00,M21,TLM-012,21,0,0.0094,PASS,,QC-A,客户标准
QI-0011812,2026-04-22 17:00:00,M14,TLM-009,99,0,0.0017,PASS,,QC-D,IATF 16949
QI-0011813,2025-01-27 22:00:00,M29,LFR-008,129,2,0.0165,PASS,飞边,QC-B,客户标准
QI-0011814,2026-04-19 09:00:00,M21,HND-011,143,0,0.0041,PASS,,QC-D,客户标准
QI-0011815,2025-04-16 07:00:00,M18,BUM-004,104,0,0.0088,PASS,,QC-D,客户标准
QI-0011816,2025-07-03 13:00:00,M18,HND-005,197,4,0.0221,PASS,熔接痕,QC-B,客户标准
QI-0011817,2024-07-03 21:00:00,M23,TLP-005,46,0,0.004,PASS,,QC-A,客户标准
QI-0011818,2025-10-31 08:00:00,M04,VEN-021,185,1,0.0093,FAIL,缺料,QC-C,ISO 9001
QI-0011819,2026-02-03 02:00:00,M07,VEN-015,143,0,0.0015,PASS,,QC-A,ISO 9001
QI-0011820,2024-06-12 01:00:00,M21,HND-004,108,1,0.0118,PASS,气泡,QC-A,IATF 16949
QI-0011821,2024-06-21 19:00:00,M17,BUM-027,20,0,0.0026,PASS,,QC-A,IATF 16949
QI-0011822,2024-09-30 10:00:00,M18,HND-015,104,0,0.0021,PASS,,QC-C,客户标准
QI-0011823,2024-01-27 13:00:00,M19,HND-017,57,0,0.0055,PASS,,QC-D,IATF 16949
QI-0011824,2025-10-18 11:00:00,M15,BUM-024,48,0,0.0046,PASS,,QC-A,ISO 9001
QI-0011825,2024-08-31 10:00:00,M07,CUP-012,181,0,0.0031,PASS,,QC-C,IATF 16949
QI-0011826,2026-01-03 11:00:00,M28,LRB-018,67,0,0.0046,PASS,,QC-B,ISO 9001
QI-0011827,2025-05-04 22:00:00,M27,LRB-022,27,0,0.0039,PASS,,QC-D,客户标准
QI-0011828,2026-02-03 20:00:00,M09,CUP-002,40,0,0.0048,PASS,,QC-A,ISO 9001
QI-0011829,2025-06-07 23:00:00,M07,VEN-002,58,0,0.0066,PASS,,QC-B,ISO 9001
QI-0011830,2025-11-14 16:00:00,M01,VEN-009,134,0,0.0015,PASS,,QC-D,ISO 9001
QI-0011831,2024-03-22 13:00:00,M02,DRH-006,35,0,0.0013,PASS,,QC-C,客户标准
QI-0011832,2024-03-11 21:00:00,M09,CUP-005,21,0,0.0026,PASS,,QC-C,客户标准
QI-0011833,2024-07-26 17:00:00,M12,CUP-006,76,0,0.0043,PASS,,QC-D,客户标准
QI-0011834,2025-09-14 21:00:00,M13,CUP-016,67,0,0.0091,PASS,,QC-B,IATF 16949
QI-0011835,2024-11-20 20:00:00,M24,TLP-012,192,0,0.0031,PASS,,QC-D,客户标准
QI-0011836,2025-08-08 01:00:00,M05,VEN-004,132,1,0.0081,PASS,黑点,QC-D,IATF 16949
QI-0011837,2024-12-01 02:00:00,M28,LRB-009,21,0,0.0024,PASS,,QC-B,IATF 16949
QI-0011838,2025-07-14 19:00:00,M01,DRH-001,92,0,0.0086,PASS,,QC-C,ISO 9001
QI-0011839,2025-05-17 04:00:00,M09,DRH-010,121,2,0.0204,PASS,气泡,QC-B,ISO 9001
QI-0011840,2026-01-05 22:00:00,M20,HND-011,69,0,0.0047,PASS,,QC-B,客户标准
QI-0011841,2025-10-01 03:00:00,M01,DRH-012,42,1,0.0406,PASS,尺寸不合格,QC-C,ISO 9001
QI-0011842,2025-03-17 01:00:00,M21,HND-018,116,3,0.0301,PASS,缩痕,QC-C,IATF 16949
QI-0011843,2026-01-01 16:00:00,M19,BUM-008,189,0,0.0031,PASS,,QC-C,IATF 16949
QI-0011844,2024-01-14 06:00:00,M11,CUP-023,28,0,0.0035,PASS,,QC-D,客户标准
QI-0011845,2024-11-04 15:00:00,M25,TLP-005,136,0,0.0015,PASS,,QC-A,客户标准
QI-0011846,2024-12-01 18:00:00,M26,LRB-004,95,1,0.0137,PASS,缺料,QC-B,客户标准
QI-0011847,2024-12-28 04:00:00,M13,CUP-024,183,1,0.0076,PASS,熔接痕,QC-C,IATF 16949
QI-0011848,2025-08-11 09:00:00,M23,TLP-017,187,0,0.0018,PASS,,QC-C,ISO 9001
QI-0011849,2024-12-23 19:00:00,M15,HND-002,80,0,0.011,PASS,,QC-A,IATF 16949
QI-0011850,2026-04-22 14:00:00,M03,VEN-021,160,1,0.0081,PASS,黑点,QC-A,IATF 16949
QI-0011851,2024-05-18 02:00:00,M19,BUM-007,165,0,0.0057,PASS,,QC-B,ISO 9001
QI-0011852,2025-04-10 12:00:00,M17,TLM-007,34,0,0.0048,PASS,,QC-B,ISO 9001
QI-0011853,2024-08-09 22:00:00,M04,DRH-027,159,0,0.003,PASS,,QC-C,ISO 9001
QI-0011854,2025-08-08 17:00:00,M04,VEN-009,177,1,0.0078,PASS,变形,QC-D,客户标准
QI-0011855,2025-01-13 21:00:00,M08,DRH-011,83,0,0.0104,PASS,,QC-A,IATF 16949
QI-0011856,2025-08-02 03:00:00,M28,LRB-019,164,0,0.0019,PASS,,QC-C,ISO 9001
QI-0011857,2024-11-07 22:00:00,M29,LRB-016,49,0,0.0072,PASS,,QC-B,IATF 16949
QI-0011858,2025-10-24 17:00:00,M20,BUM-021,105,1,0.0147,PASS,变形,QC-A,IATF 16949
QI-0011859,2025-11-05 17:00:00,M16,HND-028,68,0,0.0036,PASS,,QC-B,ISO 9001
QI-0011860,2025-06-09 23:00:00,M01,DRH-010,156,1,0.0113,FAIL,熔接痕,QC-A,IATF 16949
QI-0011861,2025-07-03 07:00:00,M05,CUP-021,39,0,0.0108,PASS,,QC-B,ISO 9001
QI-0011862,2026-01-30 20:00:00,M15,BUM-024,191,0,0.0028,PASS,,QC-D,ISO 9001
QI-0011863,2025-03-20 03:00:00,M28,LFR-013,85,0,0.0029,PASS,,QC-C,ISO 9001
QI-0011864,2024-12-15 02:00:00,M20,TLM-001,59,0,0.0042,PASS,,QC-C,ISO 9001
QI-0011865,2024-01-03 13:00:00,M20,BUM-026,54,0,0.0134,PASS,,QC-A,IATF 16949
QI-0011866,2026-01-15 16:00:00,M28,LFR-018,84,0,0.0039,PASS,,QC-C,ISO 9001
QI-0011867,2026-03-25 04:00:00,M10,VEN-025,174,1,0.0096,PASS,气泡,QC-A,ISO 9001
QI-0011868,2025-08-04 07:00:00,M25,DUO-008,154,0,0.0028,PASS,,QC-A,IATF 16949
QI-0011869,2025-11-06 11:00:00,M03,DRH-013,143,5,0.0363,PASS,变形,QC-B,IATF 16949
QI-0011870,2026-01-22 13:00:00,M20,TLM-017,62,1,0.02,PASS,变形,QC-B,客户标准
QI-0011871,2025-07-13 12:00:00,M10,DRH-028,79,3,0.0388,PASS,黑点,QC-B,客户标准
QI-0011872,2024-08-05 21:00:00,M06,DRH-024,109,1,0.0137,PASS,气泡,QC-A,客户标准
QI-0011873,2025-05-03 14:00:00,M03,DRH-024,129,0,0.0014,PASS,,QC-D,IATF 16949
QI-0011874,2025-09-10 06:00:00,M08,CUP-021,109,1,0.0106,PASS,飞边,QC-C,ISO 9001
QI-0011875,2026-03-22 22:00:00,M27,LFR-002,129,0,0.0044,PASS,,QC-B,IATF 16949
QI-0011876,2024-01-09 08:00:00,M28,LFR-004,145,0,0.0017,PASS,,QC-D,ISO 9001
QI-0011877,2026-03-02 19:00:00,M18,BUM-023,148,3,0.0218,PASS,飞边,QC-B,ISO 9001
QI-0011878,2025-04-03 14:00:00,M21,TLM-004,146,0,0.0029,PASS,,QC-B,ISO 9001
QI-0011879,2026-04-07 18:00:00,M11,VEN-008,163,0,0.0056,PASS,,QC-C,ISO 9001
QI-0011880,2026-04-12 10:00:00,M02,CUP-022,197,0,0.0014,PASS,,QC-A,ISO 9001
QI-0011881,2025-03-01 18:00:00,M08,CUP-030,29,0,0.0092,PASS,,QC-B,IATF 16949
QI-0011882,2024-01-11 18:00:00,M22,BUM-015,92,0,0.0103,PASS,,QC-A,IATF 16949
QI-0011883,2025-08-16 09:00:00,M14,BUM-027,94,0,0.0089,PASS,,QC-C,ISO 9001
QI-0011884,2025-09-17 12:00:00,M20,BUM-011,148,0,0.0039,PASS,,QC-B,客户标准
QI-0011885,2024-09-04 22:00:00,M02,DRH-004,98,0,0.0099,PASS,,QC-B,ISO 9001
QI-0011886,2025-10-02 18:00:00,M17,TLM-020,121,1,0.0164,PASS,变形,QC-C,客户标准
QI-0011887,2024-11-13 05:00:00,M01,VEN-013,120,0,0.0066,PASS,,QC-D,客户标准
QI-0011888,2025-05-30 07:00:00,M07,VEN-019,151,0,0.0008,PASS,,QC-C,客户标准
QI-0011889,2024-11-22 13:00:00,M12,CUP-010,180,2,0.0137,PASS,缺料,QC-A,IATF 16949
QI-0011890,2024-11-24 12:00:00,M04,VEN-023,68,1,0.0265,FAIL,熔接痕,QC-B,客户标准
QI-0011891,2024-08-27 09:00:00,M09,DRH-010,23,0,0.0039,PASS,,QC-D,ISO 9001
QI-0011892,2025-04-08 16:00:00,M23,DUO-014,196,0,0.0035,PASS,,QC-A,客户标准
QI-0011893,2026-03-13 00:00:00,M10,CUP-026,38,0,0.0028,PASS,,QC-C,IATF 16949
QI-0011894,2025-02-24 01:00:00,M19,HND-006,67,0,0.0016,PASS,,QC-C,IATF 16949
QI-0011895,2026-03-25 22:00:00,M06,VEN-021,25,0,0.0051,PASS,,QC-C,IATF 16949
QI-0011896,2024-12-01 01:00:00,M07,CUP-015,140,1,0.0099,PASS,熔接痕,QC-A,ISO 9001
QI-0011897,2024-04-24 23:00:00,M23,DUO-013,59,1,0.0235,PASS,气泡,QC-D,客户标准
QI-0011898,2025-12-21 11:00:00,M20,BUM-013,81,0,0.0065,PASS,,QC-D,ISO 9001
QI-0011899,2024-12-08 17:00:00,M06,VEN-024,110,0,0.0078,PASS,,QC-B,IATF 16949
QI-0011900,2025-01-06 00:00:00,M11,VEN-009,159,3,0.0199,PASS,黑点,QC-A,IATF 16949
QI-0011901,2026-01-12 21:00:00,M11,VEN-002,175,1,0.0085,FAIL,变形,QC-C,客户标准
QI-0011902,2025-07-29 14:00:00,M29,LFR-015,198,3,0.0191,PASS,飞边,QC-B,IATF 16949
QI-0011903,2024-04-16 10:00:00,M29,LRB-012,159,0,0.003,PASS,,QC-D,IATF 16949
QI-0011904,2025-06-02 03:00:00,M09,VEN-024,66,0,0.0011,PASS,,QC-C,IATF 16949
QI-0011905,2024-08-09 07:00:00,M14,TLM-011,82,1,0.0146,PASS,熔接痕,QC-C,客户标准
QI-0011906,2025-05-18 19:00:00,M13,VEN-018,106,0,0.007,PASS,,QC-C,ISO 9001
QI-0011907,2026-03-18 23:00:00,M25,TLP-005,106,0,0.0022,PASS,,QC-B,IATF 16949
QI-0011908,2024-07-23 02:00:00,M09,DRH-023,160,1,0.0065,PASS,熔接痕,QC-C,IATF 16949
QI-0011909,2025-08-08 18:00:00,M04,CUP-027,118,1,0.0123,FAIL,缩痕,QC-C,ISO 9001
QI-0011910,2025-03-01 12:00:00,M12,VEN-023,22,0,0.0009,PASS,,QC-B,IATF 16949
QI-0011911,2024-05-19 18:00:00,M11,CUP-023,194,0,0.0031,PASS,,QC-D,客户标准
QI-0011912,2025-12-29 23:00:00,M24,WLC-018,193,0,0.001,PASS,,QC-D,ISO 9001
QI-0011913,2025-04-10 02:00:00,M17,HND-028,191,1,0.0089,PASS,熔接痕,QC-B,ISO 9001
QI-0011914,2025-03-13 00:00:00,M29,LFR-019,125,0,0.005,PASS,,QC-A,客户标准
QI-0011915,2025-05-09 15:00:00,M12,CUP-012,174,2,0.0128,FAIL,缩痕,QC-A,IATF 16949
QI-0011916,2025-10-15 10:00:00,M10,VEN-017,161,8,0.05,PASS,气泡,QC-A,ISO 9001
QI-0011917,2026-04-15 02:00:00,M21,BUM-026,117,1,0.0089,FAIL,变形,QC-C,ISO 9001
QI-0011918,2024-08-05 00:00:00,M13,VEN-028,45,0,0.0014,PASS,,QC-D,ISO 9001
QI-0011919,2026-04-14 01:00:00,M06,CUP-013,175,2,0.0148,PASS,色差,QC-B,ISO 9001
QI-0011920,2025-12-16 07:00:00,M17,BUM-018,160,1,0.0098,PASS,气泡,QC-C,ISO 9001
QI-0011921,2026-01-07 16:00:00,M07,VEN-009,173,0,0.0034,PASS,,QC-D,ISO 9001
QI-0011922,2026-02-26 01:00:00,M19,TLM-026,78,0,0.0081,PASS,,QC-D,IATF 16949
QI-0011923,2024-04-09 18:00:00,M24,WLC-019,98,0,0.008,PASS,,QC-D,ISO 9001
QI-0011924,2026-02-07 17:00:00,M09,CUP-015,112,0,0.0061,PASS,,QC-A,客户标准
QI-0011925,2025-05-31 10:00:00,M26,LRB-008,151,0,0.0021,PASS,,QC-D,IATF 16949
QI-0011926,2025-08-24 23:00:00,M19,HND-028,93,2,0.0236,PASS,尺寸不合格,QC-A,客户标准
QI-0011927,2025-06-24 18:00:00,M08,VEN-008,34,0,0.0044,PASS,,QC-C,IATF 16949
QI-0011928,2025-11-06 19:00:00,M09,CUP-016,150,0,0.0016,PASS,,QC-C,客户标准
QI-0011929,2025-06-10 10:00:00,M09,CUP-023,150,2,0.0182,PASS,黑点,QC-C,客户标准
QI-0011930,2024-04-28 07:00:00,M14,HND-020,96,0,0.0017,PASS,,QC-C,IATF 16949
QI-0011931,2025-02-02 01:00:00,M22,TLM-009,35,0,0.0153,PASS,,QC-C,IATF 16949
QI-0011932,2025-04-04 00:00:00,M24,TLP-020,81,0,0.0123,PASS,,QC-B,客户标准
QI-0011933,2025-04-27 05:00:00,M16,TLM-011,75,0,0.0074,PASS,,QC-D,ISO 9001
QI-0011934,2025-02-25 11:00:00,M21,BUM-015,43,0,0.0084,PASS,,QC-A,客户标准
QI-0011935,2024-09-22 02:00:00,M11,VEN-010,60,0,0.0029,PASS,,QC-A,ISO 9001
QI-0011936,2025-06-02 05:00:00,M10,DRH-014,187,0,0.004,PASS,,QC-A,IATF 16949
QI-0011937,2025-09-12 00:00:00,M24,TLP-001,139,0,0.0039,PASS,,QC-B,IATF 16949
QI-0011938,2026-03-23 12:00:00,M01,DRH-023,173,1,0.0115,PASS,气泡,QC-C,IATF 16949
QI-0011939,2024-01-14 08:00:00,M25,DUO-003,76,0,0.0024,PASS,,QC-D,ISO 9001
QI-0011940,2026-03-04 00:00:00,M23,WLC-002,38,0,0.0041,PASS,,QC-D,IATF 16949
QI-0011941,2025-03-08 11:00:00,M29,LFR-011,58,2,0.0346,PASS,黑点,QC-B,IATF 16949
