shift_id,shift_date,shift_name,operator_id,operator_name,assigned_machines,effective_hours,overtime_hours,attended
SH-0005326,2024-04-21,晚班,OP019,操作员19,M11;M27;M05,7.41,0.63,True
SH-0005327,2024-04-21,晚班,OP042,操作员42,M04;M25,7.59,1.49,True
SH-0005328,2024-04-21,晚班,OP021,操作员21,M15;M16,7.28,1.55,True
SH-0005329,2024-04-21,晚班,OP001,操作员01,M18;M16;M05,8.25,0.47,True
SH-0005330,2024-04-21,晚班,OP040,操作员40,M04,6.6,0.32,True
SH-0005331,2024-04-21,晚班,OP042,操作员42,M23,6.5,0.3,True
SH-0005332,2024-04-21,晚班,OP014,操作员14,M18;M06,6.59,1.24,False
SH-0005333,2024-04-21,晚班,OP002,操作员02,M15;M05,8.28,1.76,True
SH-0005334,2024-04-21,晚班,OP038,操作员38,M24;M26;M08,7.01,0.1,True
SH-0005335,2024-04-21,晚班,OP027,操作员27,M20;M28,6.65,0.47,True
SH-0005336,2024-04-21,晚班,OP005,操作员05,M22;M18,8.33,1.06,True
SH-0005337,2024-04-21,晚班,OP016,操作员16,M20;M09;M24,7.71,0.93,True
SH-0005338,2024-04-22,白班,OP007,操作员07,M06;M23;M05,7.33,1.89,True
SH-0005339,2024-04-22,白班,OP035,操作员35,M21;M02,7.42,0.13,False
SH-0005340,2024-04-22,白班,OP007,操作员07,M02;M01;M28,7.82,1.55,False
SH-0005341,2024-04-22,白班,OP042,操作员42,M29;M18,7.99,0.93,True
SH-0005342,2024-04-22,白班,OP029,操作员29,M19;M25,6.67,0.91,True
SH-0005343,2024-04-22,白班,OP043,操作员43,M26,7.26,1.74,True
SH-0005344,2024-04-22,白班,OP041,操作员41,M06;M20;M10,6.76,0.73,True
SH-0005345,2024-04-22,白班,OP019,操作员19,M29,7.59,0.5,True
SH-0005346,2024-04-22,白班,OP020,操作员20,M01;M07,8.02,1.51,True
SH-0005347,2024-04-22,白班,OP022,操作员22,M19;M24;M12,7.37,1.46,True
SH-0005348,2024-04-22,白班,OP013,操作员13,M07;M25,8.08,0.64,True
SH-0005349,2024-04-22,白班,OP006,操作员06,M23,8.13,0.46,False
SH-0005350,2024-04-22,白班,OP043,操作员43,M26;M27,7.32,0.57,True
SH-0005351,2024-04-22,白班,OP046,操作员46,M16;M21,7.25,1.03,True
SH-0005352,2024-04-22,白班,OP029,操作员29,M25;M04;M17,6.94,0.99,False
SH-0005353,2024-04-22,白班,OP034,操作员34,M06;M25,7.87,0.05,True
SH-0005354,2024-04-22,白班,OP014,操作员14,M05;M12,6.62,0.29,True
SH-0005355,2024-04-22,夜班,OP001,操作员01,M02;M20,7.99,0.02,True
SH-0005356,2024-04-22,夜班,OP046,操作员46,M12;M10;M08,7.08,0.16,True
SH-0005357,2024-04-22,夜班,OP022,操作员22,M15;M25,6.69,0.73,False
SH-0005358,2024-04-22,夜班,OP043,操作员43,M28;M23,6.56,0.64,True
SH-0005359,2024-04-22,夜班,OP008,操作员08,M03;M01;M29,7.48,1.67,False
SH-0005360,2024-04-22,夜班,OP010,操作员10,M24;M21,8.06,1.72,False
SH-0005361,2024-04-22,夜班,OP013,操作员13,M20;M29,7.8,1.87,True
SH-0005362,2024-04-22,夜班,OP002,操作员02,M15,6.77,1.2,True
SH-0005363,2024-04-22,夜班,OP033,操作员33,M01;M21,6.91,1.11,False
SH-0005364,2024-04-22,夜班,OP043,操作员43,M17;M02;M06,7.68,1.22,True
SH-0005365,2024-04-22,夜班,OP048,操作员48,M25;M14;M24,6.88,0.82,True
SH-0005366,2024-04-22,夜班,OP001,操作员01,M13;M09;M12,8.39,1.25,True
SH-0005367,2024-04-22,夜班,OP039,操作员39,M13;M05,8.18,1.73,True
SH-0005368,2024-04-22,夜班,OP033,操作员33,M29;M26;M28,7.11,0.72,True
SH-0005369,2024-04-22,夜班,OP010,操作员10,M02;M29,7.76,1.51,True
SH-0005370,2024-04-22,夜班,OP016,操作员16,M07;M27;M25,8.39,1.9,True
SH-0005371,2024-04-22,晚班,OP022,操作员22,M28;M17;M15,8.16,0.88,True
SH-0005372,2024-04-22,晚班,OP017,操作员17,M16;M05,8.08,0.35,True
SH-0005373,2024-04-22,晚班,OP045,操作员45,M17,7.92,1.77,True
SH-0005374,2024-04-22,晚班,OP045,操作员45,M02,6.6,1.81,True
SH-0005375,2024-04-22,晚班,OP044,操作员44,M29;M17;M21,6.85,0.81,True
SH-0005376,2024-04-22,晚班,OP046,操作员46,M06;M18;M29,7.54,0.62,True
SH-0005377,2024-04-22,晚班,OP011,操作员11,M22,8.42,1.52,True
SH-0005378,2024-04-22,晚班,OP048,操作员48,M05,6.77,0.5,True
SH-0005379,2024-04-22,晚班,OP034,操作员34,M08,8.28,1.97,True
SH-0005380,2024-04-22,晚班,OP003,操作员03,M05;M18,7.41,0.7,True
SH-0005381,2024-04-22,晚班,OP018,操作员18,M08;M27,7.78,1.31,True
SH-0005382,2024-04-22,晚班,OP040,操作员40,M10;M09,8.18,0.51,True
SH-0005383,2024-04-23,白班,OP027,操作员27,M05;M01,6.5,1.85,True
SH-0005384,2024-04-23,白班,OP037,操作员37,M20,7.78,0.87,True
SH-0005385,2024-04-23,白班,OP022,操作员22,M10,7.85,0.07,True
SH-0005386,2024-04-23,白班,OP004,操作员04,M01,7.12,1.09,False
SH-0005387,2024-04-23,白班,OP032,操作员32,M23,7.42,0.81,True
SH-0005388,2024-04-23,白班,OP012,操作员12,M25;M05,7.53,1.28,True
SH-0005389,2024-04-23,白班,OP029,操作员29,M06;M07,8.2,1.12,False
SH-0005390,2024-04-23,白班,OP004,操作员04,M24;M15;M03,7.69,0.52,True
SH-0005391,2024-04-23,白班,OP012,操作员12,M21,7.13,0.87,True
SH-0005392,2024-04-23,白班,OP001,操作员01,M07;M12;M09,7.16,1.35,True
SH-0005393,2024-04-23,白班,OP001,操作员01,M24;M04,8.28,1.88,True
SH-0005394,2024-04-23,白班,OP005,操作员05,M06,7.48,1.97,True
SH-0005395,2024-04-23,白班,OP022,操作员22,M17;M03;M05,8.07,0.45,True
SH-0005396,2024-04-23,白班,OP031,操作员31,M13,6.62,1.82,True
SH-0005397,2024-04-23,白班,OP015,操作员15,M03,7.17,1.44,True
SH-0005398,2024-04-23,白班,OP031,操作员31,M21;M01;M08,6.56,1.66,True
SH-0005399,2024-04-23,白班,OP005,操作员05,M12;M22;M25,7.83,0.94,False
SH-0005400,2024-04-23,白班,OP032,操作员32,M22;M29,8.43,0.48,True
SH-0005401,2024-04-23,白班,OP015,操作员15,M24;M20,7.39,1.52,True
SH-0005402,2024-04-23,白班,OP017,操作员17,M23,8.2,1.98,True
SH-0005403,2024-04-23,夜班,OP007,操作员07,M19,6.57,0.78,True
SH-0005404,2024-04-23,夜班,OP008,操作员08,M02,6.67,0.13,True
SH-0005405,2024-04-23,夜班,OP034,操作员34,M15,7.61,0.62,True
SH-0005406,2024-04-23,夜班,OP029,操作员29,M08,7.65,1.01,False
SH-0005407,2024-04-23,夜班,OP005,操作员05,M14;M15;M25,7.59,0.83,False
SH-0005408,2024-04-23,夜班,OP018,操作员18,M12;M08;M04,7.17,1.82,True
SH-0005409,2024-04-23,夜班,OP013,操作员13,M03;M28,7.08,1.45,True
SH-0005410,2024-04-23,夜班,OP008,操作员08,M20,6.8,1.86,True
SH-0005411,2024-04-23,夜班,OP045,操作员45,M15,8.43,1.61,True
SH-0005412,2024-04-23,夜班,OP002,操作员02,M04;M03,7.2,1.65,True
SH-0005413,2024-04-23,夜班,OP034,操作员34,M25;M11,6.53,0.99,True
SH-0005414,2024-04-23,夜班,OP039,操作员39,M09;M17;M04,6.56,0.69,True
SH-0005415,2024-04-23,夜班,OP012,操作员12,M12;M04,6.76,1.43,False
SH-0005416,2024-04-23,夜班,OP046,操作员46,M05;M24,7.84,1.53,True
SH-0005417,2024-04-23,夜班,OP044,操作员44,M18,7.64,0.77,True
SH-0005418,2024-04-23,夜班,OP027,操作员27,M01;M26,7.16,0.47,True
SH-0005419,2024-04-23,夜班,OP007,操作员07,M18,8.23,0.92,True
SH-0005420,2024-04-23,夜班,OP020,操作员20,M14;M26;M11,7.55,1.86,False
SH-0005421,2024-04-23,夜班,OP047,操作员47,M24;M11;M28,6.77,0.9,True
SH-0005422,2024-04-23,晚班,OP042,操作员42,M01;M13,7.33,1.94,True
SH-0005423,2024-04-23,晚班,OP046,操作员46,M25;M02;M08,6.97,1.27,True
SH-0005424,2024-04-23,晚班,OP002,操作员02,M05;M14,7.73,1.99,False
SH-0005425,2024-04-23,晚班,OP011,操作员11,M17,8.26,0.22,True
SH-0005426,2024-04-23,晚班,OP022,操作员22,M12,6.63,1.46,True
SH-0005427,2024-04-23,晚班,OP008,操作员08,M17,7.12,0.22,True
SH-0005428,2024-04-23,晚班,OP014,操作员14,M23;M13;M15,7.9,0.39,True
SH-0005429,2024-04-23,晚班,OP016,操作员16,M17;M24,8.37,0.93,False
SH-0005430,2024-04-23,晚班,OP038,操作员38,M09;M20,8.1,1.13,True
SH-0005431,2024-04-23,晚班,OP043,操作员43,M10,6.82,0.91,True
SH-0005432,2024-04-23,晚班,OP025,操作员25,M18,8.4,1.02,True
SH-0005433,2024-04-23,晚班,OP001,操作员01,M20;M01;M07,7.12,0.04,False
SH-0005434,2024-04-23,晚班,OP005,操作员05,M04;M28;M21,6.53,1.22,True
SH-0005435,2024-04-23,晚班,OP019,操作员19,M17;M23,7.28,0.95,False
SH-0005436,2024-04-23,晚班,OP028,操作员28,M27;M22,7.47,1.98,False
SH-0005437,2024-04-24,白班,OP008,操作员08,M22;M15,7.55,1.12,True
SH-0005438,2024-04-24,白班,OP013,操作员13,M15;M22;M06,6.99,0.96,True
SH-0005439,2024-04-24,白班,OP024,操作员24,M16,6.51,1.82,False
SH-0005440,2024-04-24,白班,OP022,操作员22,M19;M13;M06,6.53,0.05,False
SH-0005441,2024-04-24,白班,OP039,操作员39,M18;M09,7.76,0.39,True
SH-0005442,2024-04-24,白班,OP021,操作员21,M04;M13;M05,6.99,0.4,True
SH-0005443,2024-04-24,白班,OP036,操作员36,M26;M10,7.21,1.39,True
SH-0005444,2024-04-24,白班,OP009,操作员09,M03;M29,7.25,1.35,True
SH-0005445,2024-04-24,白班,OP011,操作员11,M24;M04;M19,7.45,0.23,True
SH-0005446,2024-04-24,白班,OP048,操作员48,M17,6.68,0.6,True
SH-0005447,2024-04-24,白班,OP018,操作员18,M18;M16;M17,7.78,1.88,True
SH-0005448,2024-04-24,白班,OP025,操作员25,M07;M10;M08,8.37,1.57,True
SH-0005449,2024-04-24,白班,OP044,操作员44,M16;M02;M06,7.28,1.54,True
SH-0005450,2024-04-24,白班,OP037,操作员37,M05;M07;M21,8.34,0.45,True
SH-0005451,2024-04-24,白班,OP005,操作员05,M14;M13,7.86,0.73,True
SH-0005452,2024-04-24,白班,OP005,操作员05,M03;M23,7.41,0.22,True
SH-0005453,2024-04-24,白班,OP011,操作员11,M17;M07,7.41,1.09,True
SH-0005454,2024-04-24,白班,OP014,操作员14,M24;M14,7.96,1.6,True
SH-0005455,2024-04-24,夜班,OP018,操作员18,M22;M29;M23,7.88,0.77,True
SH-0005456,2024-04-24,夜班,OP044,操作员44,M21;M04;M07,8.39,0.08,True
SH-0005457,2024-04-24,夜班,OP036,操作员36,M04;M09;M29,7.09,1.15,True
SH-0005458,2024-04-24,夜班,OP035,操作员35,M28,6.68,1.05,True
SH-0005459,2024-04-24,夜班,OP025,操作员25,M24;M26;M29,6.51,1.64,True
SH-0005460,2024-04-24,夜班,OP035,操作员35,M02;M27;M21,8.27,0.03,False
SH-0005461,2024-04-24,夜班,OP037,操作员37,M07;M01;M24,6.6,0.6,True
SH-0005462,2024-04-24,夜班,OP006,操作员06,M14,8.4,1.24,True
SH-0005463,2024-04-24,夜班,OP034,操作员34,M25;M02,7.47,2.0,True
SH-0005464,2024-04-24,夜班,OP013,操作员13,M07;M18;M09,6.89,1.32,True
SH-0005465,2024-04-24,夜班,OP012,操作员12,M01,8.38,0.71,True
SH-0005466,2024-04-24,夜班,OP044,操作员44,M25;M27;M17,7.42,1.6,False
SH-0005467,2024-04-24,夜班,OP006,操作员06,M09;M04;M02,6.65,1.96,True
SH-0005468,2024-04-24,晚班,OP029,操作员29,M03;M13;M16,7.71,1.22,False
SH-0005469,2024-04-24,晚班,OP040,操作员40,M12,6.5,1.25,True
SH-0005470,2024-04-24,晚班,OP002,操作员02,M09;M28;M21,8.01,1.22,True
SH-0005471,2024-04-24,晚班,OP046,操作员46,M01;M28,7.67,1.39,True
SH-0005472,2024-04-24,晚班,OP043,操作员43,M26;M23,8.48,0.3,False
SH-0005473,2024-04-24,晚班,OP009,操作员09,M01,8.42,0.77,True
SH-0005474,2024-04-24,晚班,OP003,操作员03,M04,6.54,1.1,True
SH-0005475,2024-04-24,晚班,OP047,操作员47,M10;M22,7.42,1.11,True
SH-0005476,2024-04-24,晚班,OP003,操作员03,M20;M02;M29,7.81,0.67,True
SH-0005477,2024-04-24,晚班,OP043,操作员43,M24;M14,8.28,0.88,True
SH-0005478,2024-04-24,晚班,OP001,操作员01,M18,8.06,0.98,True
SH-0005479,2024-04-24,晚班,OP001,操作员01,M28;M02,7.44,1.49,True
SH-0005480,2024-04-24,晚班,OP045,操作员45,M15;M26;M02,8.3,0.07,True
SH-0005481,2024-04-24,晚班,OP014,操作员14,M26,7.78,1.52,True
SH-0005482,2024-04-24,晚班,OP015,操作员15,M09;M13;M07,8.06,1.7,True
SH-0005483,2024-04-24,晚班,OP029,操作员29,M04,8.24,1.82,True
SH-0005484,2024-04-24,晚班,OP037,操作员37,M02;M14;M07,6.59,1.49,True
SH-0005485,2024-04-24,晚班,OP017,操作员17,M19,8.33,1.77,True
SH-0005486,2024-04-25,白班,OP003,操作员03,M11,6.98,0.72,True
SH-0005487,2024-04-25,白班,OP036,操作员36,M05,7.01,0.76,True
SH-0005488,2024-04-25,白班,OP030,操作员30,M10,6.87,0.85,False
SH-0005489,2024-04-25,白班,OP006,操作员06,M27,8.12,0.49,True
SH-0005490,2024-04-25,白班,OP048,操作员48,M09;M02;M17,8.18,1.95,True
SH-0005491,2024-04-25,白班,OP045,操作员45,M13;M16,7.9,0.67,False
SH-0005492,2024-04-25,白班,OP020,操作员20,M28;M29,6.65,1.94,False
SH-0005493,2024-04-25,白班,OP024,操作员24,M20,7.49,0.68,True
SH-0005494,2024-04-25,白班,OP046,操作员46,M13;M25,7.74,1.35,True
SH-0005495,2024-04-25,白班,OP014,操作员14,M03;M21,7.11,1.76,True
SH-0005496,2024-04-25,白班,OP042,操作员42,M10;M03;M26,7.74,0.59,True
SH-0005497,2024-04-25,白班,OP046,操作员46,M23,8.18,0.34,True
SH-0005498,2024-04-25,白班,OP004,操作员04,M21;M02;M25,7.95,0.29,True
SH-0005499,2024-04-25,白班,OP026,操作员26,M22;M09;M26,7.66,0.1,True
SH-0005500,2024-04-25,白班,OP023,操作员23,M02;M14;M11,6.75,1.95,True
SH-0005501,2024-04-25,白班,OP046,操作员46,M23;M04,7.47,1.68,True
SH-0005502,2024-04-25,白班,OP027,操作员27,M26;M13;M14,6.79,0.82,True
SH-0005503,2024-04-25,白班,OP030,操作员30,M16;M01;M23,7.43,1.12,True
SH-0005504,2024-04-25,白班,OP005,操作员05,M17,6.56,0.02,True
SH-0005505,2024-04-25,夜班,OP039,操作员39,M17;M25;M20,7.01,1.39,True
SH-0005506,2024-04-25,夜班,OP040,操作员40,M23,6.88,0.62,True
SH-0005507,2024-04-25,夜班,OP038,操作员38,M09;M19,7.53,1.47,True
SH-0005508,2024-04-25,夜班,OP033,操作员33,M06;M29;M28,8.3,0.48,False
SH-0005509,2024-04-25,夜班,OP011,操作员11,M15;M25,7.9,1.51,True
SH-0005510,2024-04-25,夜班,OP019,操作员19,M26,7.9,1.69,True
SH-0005511,2024-04-25,夜班,OP016,操作员16,M09;M28,8.28,0.81,True
SH-0005512,2024-04-25,夜班,OP021,操作员21,M03,7.56,0.62,False
SH-0005513,2024-04-25,夜班,OP011,操作员11,M24;M09;M19,7.7,1.77,True
SH-0005514,2024-04-25,夜班,OP007,操作员07,M11,7.8,1.93,True
SH-0005515,2024-04-25,夜班,OP032,操作员32,M27,7.48,1.79,True
SH-0005516,2024-04-25,夜班,OP003,操作员03,M12;M28,7.32,1.55,True
SH-0005517,2024-04-25,夜班,OP048,操作员48,M11,7.7,0.06,True
SH-0005518,2024-04-25,夜班,OP016,操作员16,M13;M16;M08,8.42,1.09,True
SH-0005519,2024-04-25,夜班,OP006,操作员06,M06,7.39,0.11,True
SH-0005520,2024-04-25,夜班,OP003,操作员03,M03;M02;M06,7.41,1.11,True
SH-0005521,2024-04-25,夜班,OP023,操作员23,M01,8.33,0.51,True
SH-0005522,2024-04-25,夜班,OP014,操作员14,M25;M11;M09,8.21,1.44,True
SH-0005523,2024-04-25,夜班,OP034,操作员34,M21;M28;M04,8.15,0.01,True
SH-0005524,2024-04-25,晚班,OP020,操作员20,M17;M25,7.36,1.09,True
SH-0005525,2024-04-25,晚班,OP027,操作员27,M27,8.07,0.19,False
SH-0005526,2024-04-25,晚班,OP039,操作员39,M18;M20;M25,6.87,1.08,True
SH-0005527,2024-04-25,晚班,OP047,操作员47,M13;M22,7.12,0.83,False
SH-0005528,2024-04-25,晚班,OP017,操作员17,M27,6.7,0.48,True
SH-0005529,2024-04-25,晚班,OP042,操作员42,M06;M24;M20,7.78,1.77,False
SH-0005530,2024-04-25,晚班,OP047,操作员47,M19,6.92,1.31,True
SH-0005531,2024-04-25,晚班,OP010,操作员10,M25;M04;M11,7.6,1.05,True
SH-0005532,2024-04-25,晚班,OP013,操作员13,M01,7.32,0.9,True
SH-0005533,2024-04-25,晚班,OP040,操作员40,M04,7.94,1.88,True
SH-0005534,2024-04-25,晚班,OP027,操作员27,M24;M16,6.65,0.22,True
SH-0005535,2024-04-25,晚班,OP044,操作员44,M29,7.6,0.74,True
SH-0005536,2024-04-25,晚班,OP019,操作员19,M05,6.95,0.74,True
SH-0005537,2024-04-25,晚班,OP047,操作员47,M10;M21;M06,6.92,0.82,True
SH-0005538,2024-04-25,晚班,OP031,操作员31,M10;M21;M07,7.65,1.11,True
SH-0005539,2024-04-26,白班,OP003,操作员03,M14,7.22,0.67,True
SH-0005540,2024-04-26,白班,OP003,操作员03,M28;M09;M26,8.28,1.21,True
SH-0005541,2024-04-26,白班,OP023,操作员23,M22;M08;M14,7.14,1.22,True
SH-0005542,2024-04-26,白班,OP004,操作员04,M04,6.76,1.26,True
SH-0005543,2024-04-26,白班,OP044,操作员44,M20;M15,8.21,1.77,True
SH-0005544,2024-04-26,白班,OP038,操作员38,M27;M17;M04,6.97,1.72,True
SH-0005545,2024-04-26,白班,OP026,操作员26,M19,8.03,1.16,True
SH-0005546,2024-04-26,白班,OP004,操作员04,M17;M21;M08,7.74,0.07,False
SH-0005547,2024-04-26,白班,OP041,操作员41,M08;M24,7.73,0.52,False
SH-0005548,2024-04-26,白班,OP035,操作员35,M26;M27,7.39,1.97,False
SH-0005549,2024-04-26,白班,OP042,操作员42,M03;M11;M27,8.01,1.04,True
SH-0005550,2024-04-26,白班,OP023,操作员23,M07,7.52,0.97,True
SH-0005551,2024-04-26,夜班,OP030,操作员30,M12;M21;M25,7.75,0.67,True
SH-0005552,2024-04-26,夜班,OP027,操作员27,M28;M07;M09,7.27,0.45,False
SH-0005553,2024-04-26,夜班,OP005,操作员05,M09;M29,7.28,0.67,False
SH-0005554,2024-04-26,夜班,OP005,操作员05,M23;M02;M29,6.86,0.11,False
SH-0005555,2024-04-26,夜班,OP015,操作员15,M19,8.19,1.28,False
SH-0005556,2024-04-26,夜班,OP018,操作员18,M21,7.37,1.1,True
SH-0005557,2024-04-26,夜班,OP007,操作员07,M20;M24;M28,7.07,1.17,True
SH-0005558,2024-04-26,夜班,OP008,操作员08,M22;M26;M03,6.73,1.62,True
SH-0005559,2024-04-26,夜班,OP021,操作员21,M07;M16,6.98,0.7,True
SH-0005560,2024-04-26,夜班,OP029,操作员29,M16;M25,6.82,1.76,True
SH-0005561,2024-04-26,夜班,OP018,操作员18,M13;M04;M01,7.67,0.58,True
SH-0005562,2024-04-26,夜班,OP016,操作员16,M07;M18;M23,7.01,1.08,True
SH-0005563,2024-04-26,夜班,OP021,操作员21,M08,8.18,1.08,True
SH-0005564,2024-04-26,夜班,OP040,操作员40,M02;M09,7.25,0.05,True
SH-0005565,2024-04-26,夜班,OP025,操作员25,M14,7.63,0.76,True
SH-0005566,2024-04-26,夜班,OP017,操作员17,M09;M10;M13,6.54,1.16,False
SH-0005567,2024-04-26,夜班,OP041,操作员41,M05;M18,7.39,0.58,True
SH-0005568,2024-04-26,夜班,OP025,操作员25,M16,6.82,1.91,True
SH-0005569,2024-04-26,夜班,OP019,操作员19,M08,8.07,1.53,True
SH-0005570,2024-04-26,夜班,OP047,操作员47,M02;M08;M21,8.28,0.85,True
SH-0005571,2024-04-26,晚班,OP041,操作员41,M15,6.8,0.55,True
SH-0005572,2024-04-26,晚班,OP024,操作员24,M16,7.98,0.73,False
SH-0005573,2024-04-26,晚班,OP008,操作员08,M25;M05;M29,8.11,0.99,False
SH-0005574,2024-04-26,晚班,OP041,操作员41,M19;M18;M17,8.28,1.09,True
SH-0005575,2024-04-26,晚班,OP022,操作员22,M10,8.25,1.57,False
SH-0005576,2024-04-26,晚班,OP043,操作员43,M28,7.98,0.32,True
SH-0005577,2024-04-26,晚班,OP015,操作员15,M02,6.99,1.12,False
SH-0005578,2024-04-26,晚班,OP046,操作员46,M28;M09;M26,8.03,0.71,True
SH-0005579,2024-04-26,晚班,OP033,操作员33,M05,8.2,1.36,True
SH-0005580,2024-04-26,晚班,OP024,操作员24,M02;M08;M15,7.15,0.97,True
SH-0005581,2024-04-26,晚班,OP012,操作员12,M07;M11,7.57,0.37,True
SH-0005582,2024-04-26,晚班,OP032,操作员32,M17;M15,7.5,1.4,True
SH-0005583,2024-04-26,晚班,OP044,操作员44,M24;M29;M06,6.91,0.79,True
SH-0005584,2024-04-26,晚班,OP016,操作员16,M23,6.8,1.38,True
SH-0005585,2024-04-26,晚班,OP032,操作员32,M27,6.99,0.07,True
SH-0005586,2024-04-26,晚班,OP021,操作员21,M17,7.99,1.6,True
SH-0005587,2024-04-26,晚班,OP013,操作员13,M16;M13,8.17,1.55,True
SH-0005588,2024-04-26,晚班,OP036,操作员36,M22;M17;M14,8.1,1.95,True
SH-0005589,2024-04-26,晚班,OP007,操作员07,M01;M11,7.92,1.42,True
SH-0005590,2024-04-26,晚班,OP012,操作员12,M01;M22,7.83,0.22,False
SH-0005591,2024-04-27,白班,OP006,操作员06,M06;M21;M11,8.13,1.14,True
SH-0005592,2024-04-27,白班,OP030,操作员30,M17,8.12,0.45,True
SH-0005593,2024-04-27,白班,OP036,操作员36,M26;M20,8.08,0.08,True
SH-0005594,2024-04-27,白班,OP044,操作员44,M17,6.82,0.24,True
SH-0005595,2024-04-27,白班,OP032,操作员32,M16,6.75,1.1,True
SH-0005596,2024-04-27,白班,OP006,操作员06,M24;M04,6.56,0.87,False
SH-0005597,2024-04-27,白班,OP044,操作员44,M25;M15;M03,8.35,1.73,True
SH-0005598,2024-04-27,白班,OP046,操作员46,M29;M21;M04,7.44,1.89,True
SH-0005599,2024-04-27,白班,OP008,操作员08,M21,7.62,0.57,True
SH-0005600,2024-04-27,白班,OP028,操作员28,M10;M03,7.52,0.26,True
SH-0005601,2024-04-27,白班,OP021,操作员21,M18,8.1,1.07,False
SH-0005602,2024-04-27,白班,OP045,操作员45,M11;M12;M06,7.27,0.4,True
SH-0005603,2024-04-27,白班,OP032,操作员32,M08;M16;M13,8.24,0.66,True
SH-0005604,2024-04-27,白班,OP035,操作员35,M01,8.35,0.43,True
SH-0005605,2024-04-27,白班,OP003,操作员03,M20;M23,7.54,1.88,True
SH-0005606,2024-04-27,白班,OP003,操作员03,M12;M11;M07,7.32,1.8,True
SH-0005607,2024-04-27,夜班,OP031,操作员31,M26;M22,7.74,0.73,True
SH-0005608,2024-04-27,夜班,OP011,操作员11,M20;M24,8.0,1.87,False
SH-0005609,2024-04-27,夜班,OP031,操作员31,M10,7.51,1.29,True
SH-0005610,2024-04-27,夜班,OP013,操作员13,M10;M06;M24,7.82,0.07,True
SH-0005611,2024-04-27,夜班,OP001,操作员01,M13;M29,8.23,1.87,True
SH-0005612,2024-04-27,夜班,OP036,操作员36,M15;M28,7.27,0.3,True
SH-0005613,2024-04-27,夜班,OP042,操作员42,M23,7.87,1.1,True
SH-0005614,2024-04-27,夜班,OP005,操作员05,M12,6.69,1.83,True
SH-0005615,2024-04-27,夜班,OP029,操作员29,M15,6.79,0.31,True
SH-0005616,2024-04-27,夜班,OP025,操作员25,M19;M17,8.47,1.97,True
SH-0005617,2024-04-27,夜班,OP001,操作员01,M27;M04,7.33,0.29,True
SH-0005618,2024-04-27,夜班,OP041,操作员41,M26;M14,7.82,1.32,True
SH-0005619,2024-04-27,夜班,OP022,操作员22,M07;M28;M05,8.33,1.69,True
SH-0005620,2024-04-27,夜班,OP043,操作员43,M07;M21;M28,6.94,1.87,True
SH-0005621,2024-04-27,夜班,OP045,操作员45,M20;M15;M12,8.4,0.4,False
SH-0005622,2024-04-27,夜班,OP024,操作员24,M17;M07,6.56,0.04,True
SH-0005623,2024-04-27,夜班,OP048,操作员48,M03;M09;M23,8.18,0.36,True
SH-0005624,2024-04-27,夜班,OP029,操作员29,M09,7.32,1.38,True
SH-0005625,2024-04-27,晚班,OP019,操作员19,M17;M16;M01,7.67,1.64,True
SH-0005626,2024-04-27,晚班,OP038,操作员38,M07;M28;M04,6.97,0.02,True
SH-0005627,2024-04-27,晚班,OP015,操作员15,M06;M03,7.69,1.07,True
SH-0005628,2024-04-27,晚班,OP029,操作员29,M28,8.32,0.32,True
SH-0005629,2024-04-27,晚班,OP029,操作员29,M22;M26,7.9,1.49,False
SH-0005630,2024-04-27,晚班,OP048,操作员48,M15;M21,8.46,1.14,False
SH-0005631,2024-04-27,晚班,OP003,操作员03,M08;M14;M25,8.46,1.12,False
SH-0005632,2024-04-27,晚班,OP008,操作员08,M05;M18;M25,7.39,1.59,True
SH-0005633,2024-04-27,晚班,OP034,操作员34,M13;M21;M16,6.79,1.25,True
SH-0005634,2024-04-27,晚班,OP046,操作员46,M24;M22;M12,7.56,1.3,False
SH-0005635,2024-04-27,晚班,OP019,操作员19,M17;M16;M09,6.62,0.1,True
SH-0005636,2024-04-27,晚班,OP035,操作员35,M08,6.79,0.0,True
SH-0005637,2024-04-27,晚班,OP004,操作员04,M06;M19,6.72,0.6,False
SH-0005638,2024-04-27,晚班,OP015,操作员15,M29,8.1,1.44,True
SH-0005639,2024-04-28,白班,OP022,操作员22,M12;M24;M18,6.78,0.16,True
SH-0005640,2024-04-28,白班,OP011,操作员11,M14;M19;M18,7.4,2.0,True
SH-0005641,2024-04-28,白班,OP006,操作员06,M25,8.43,1.71,True
SH-0005642,2024-04-28,白班,OP003,操作员03,M17;M08,6.57,1.25,True
SH-0005643,2024-04-28,白班,OP029,操作员29,M28;M13;M04,8.37,1.07,True
SH-0005644,2024-04-28,白班,OP032,操作员32,M07,7.57,1.85,True
SH-0005645,2024-04-28,白班,OP041,操作员41,M05,7.06,1.3,False
SH-0005646,2024-04-28,白班,OP002,操作员02,M09;M17,6.79,1.72,True
SH-0005647,2024-04-28,白班,OP023,操作员23,M23;M07;M25,7.25,0.82,True
SH-0005648,2024-04-28,白班,OP016,操作员16,M28;M01,7.65,1.44,True
SH-0005649,2024-04-28,白班,OP047,操作员47,M18,7.75,0.65,True
SH-0005650,2024-04-28,白班,OP036,操作员36,M27;M04,7.34,0.95,False
SH-0005651,2024-04-28,白班,OP036,操作员36,M12,7.54,1.5,True
